step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,64.000000,-172497.621284,-172560.453138,1156.541783,-1903.073374,-185.635768,0.083302,73.000000
100,32400.000000,63.917394,-172870.000392,-172932.751147,3463.602139,-1903.073374,-185.635768,0.086282,7510.000000
200,32400.000000,64.000000,-172553.223814,-172616.055667,394.255349,-1903.073374,-185.635768,0.086213,15003.000000
300,32400.000000,63.853919,-172612.213566,-172674.902004,2266.622326,-1903.073374,-185.635768,0.086251,22398.000000
400,32400.000000,63.567264,-172281.699096,-172344.106112,841.379102,-1903.073374,-185.635768,0.086289,29786.000000
500,32400.000000,64.000000,-172818.123988,-172880.955841,-5931.403008,-1903.073374,-185.635768,0.086274,37216.000000
600,32400.000000,64.163770,-172818.563230,-172881.555864,-2047.448936,-1903.073374,-185.635768,0.086210,44598.000000
700,32400.000000,60.000000,-172930.584108,-172989.488970,-3443.602865,-1903.073374,-185.635768,0.086194,52019.000000
800,32400.000000,60.000000,-172907.082183,-172965.987045,1708.915213,-1903.073374,-185.635768,0.086131,59537.000000
900,32400.000000,60.000000,-172340.117203,-172399.022065,-1638.048643,-1903.073374,-185.635768,0.086164,66913.000000
1000,32400.000000,58.971505,-172459.861664,-172517.756804,-3693.162386,-1903.073374,-185.635768,0.086182,74288.000000
1100,32400.000000,60.000000,-172665.161308,-172724.066170,-2421.123996,-1903.073374,-185.635768,0.086204,82018.000000
1200,32400.000000,60.413827,-172625.931889,-172685.243025,-2089.726344,-1903.073374,-185.635768,0.086212,89458.000000
1300,32400.000000,55.714344,-172529.924541,-172584.621971,-3545.881877,-1903.073374,-185.635768,0.086225,96900.000000
1400,32400.000000,56.274550,-172905.290536,-172960.537946,-4401.796608,-1903.073374,-185.635768,0.086208,104291.000000
1500,32400.000000,52.495771,-172745.743724,-172797.281326,1866.153358,-1903.073374,-185.635768,0.086188,111713.000000
1600,32400.000000,51.853995,-172767.074886,-172817.982427,-91.536852,-1903.073374,-185.635768,0.086179,119119.000000
1700,32400.000000,44.000000,-172788.784024,-172831.980923,-79.130196,-1903.073374,-185.635768,0.086171,126810.000000
1800,32400.000000,44.000000,-172745.048836,-172788.245735,1107.602509,-1903.073374,-185.635768,0.086146,134189.000000
1900,32400.000000,44.000000,-172816.648490,-172859.845389,3903.438539,-1903.073374,-185.635768,0.086131,141592.000000
2000,32400.000000,44.000000,-173057.989753,-173101.186652,3058.855711,-1903.073374,-185.635768,0.086101,149032.000000
2100,32400.000000,44.000000,-172777.461675,-172820.658574,-1060.723373,-1903.073374,-185.635768,0.086087,156416.000000
2200,32400.000000,44.000000,-172608.064601,-172651.261500,-1759.320568,-1903.073374,-185.635768,0.086091,163820.000000
2300,32400.000000,44.000000,-172823.536547,-172866.733446,-396.686672,-1903.073374,-185.635768,0.086086,171335.000000
2400,32400.000000,43.984807,-173045.586090,-173088.768074,-1683.966499,-1903.073374,-185.635768,0.086075,178720.000000
2500,32400.000000,44.000000,-172608.353645,-172651.550544,-1619.051257,-1903.073374,-185.635768,0.086093,186098.000000
2600,32400.000000,44.000000,-173119.580871,-173162.777770,-266.506997,-1903.073374,-185.635768,0.086085,193564.000000
2700,32400.000000,44.000000,-172776.245644,-172819.442543,-3786.704060,-1903.073374,-185.635768,0.086080,201028.000000
2800,32400.000000,44.000000,-172428.558529,-172471.755428,-2251.758424,-1903.073374,-185.635768,0.086081,208391.000000
2900,32400.000000,44.000000,-172828.380205,-172871.577104,158.259092,-1903.073374,-185.635768,0.086082,215840.000000
3000,32400.000000,43.861098,-172767.244746,-172810.305278,-2996.878008,-1903.073374,-185.635768,0.086073,223286.000000
3100,32400.000000,44.000000,-173035.584751,-173078.781650,724.910974,-1903.073374,-185.635768,0.086078,230770.000000
3200,32400.000000,44.000000,-173162.408478,-173205.605377,-2760.342789,-1903.073374,-185.635768,0.086072,238193.000000
3300,32400.000000,44.000000,-172940.507629,-172983.704527,-743.350972,-1903.073374,-185.635768,0.086074,245629.000000
3400,32400.000000,43.963655,-172927.996662,-172971.157880,1210.708248,-1903.073374,-185.635768,0.086077,253102.000000
3500,32400.000000,43.076425,-173435.613994,-173477.904175,2932.025175,-1903.073374,-185.635768,0.086080,260514.000000
3600,32400.000000,44.000000,-172880.258605,-172923.455504,-2731.429339,-1903.073374,-185.635768,0.086067,268001.000000
3700,32400.000000,44.000000,-172804.798732,-172847.995631,-3902.056273,-1903.073374,-185.635768,0.086073,275437.000000
3800,32400.000000,44.000000,-172624.087255,-172667.284154,595.863772,-1903.073374,-185.635768,0.086071,282851.000000
