step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,2.822134,-149.635075,-156.284572,6.787571,2.595148,1.942084,0.450000,0.000000
1,100.000000,10.938464,-241.429369,-267.202517,6.161343,2.595148,1.942084,0.445000,0.000000
2,100.000000,15.492808,-288.636798,-325.140866,11.113209,2.595148,1.942084,0.380000,0.000000
3,100.000000,15.463606,-306.302291,-342.737555,10.419167,2.595148,1.942084,0.340000,0.000000
4,100.000000,17.419225,-320.204930,-361.248011,11.795209,2.595148,1.942084,0.300000,0.000000
5,100.000000,16.719591,-319.834098,-359.228707,11.119065,2.595148,1.942084,0.280000,0.000000
6,100.000000,15.993152,-330.095617,-367.778593,11.736653,2.595148,1.942084,0.257143,0.000000
7,100.000000,16.650089,-343.289822,-382.520671,12.575508,2.595148,1.942084,0.240000,0.000000
8,100.000000,15.026915,-347.817827,-383.224163,8.635410,2.595148,1.942084,0.228889,0.000000
9,100.000000,17.378555,-361.797452,-402.744708,9.279789,2.595148,1.942084,0.224000,1.000000
10,100.000000,17.560628,-361.049875,-402.426130,12.749639,2.595148,1.942084,0.220909,1.000000
11,100.000000,15.874657,-359.333914,-396.737694,15.874020,2.595148,1.942084,0.214167,1.000000
12,100.000000,14.116486,-377.689240,-410.950428,14.328183,2.595148,1.942084,0.207692,1.000000
13,100.000000,15.386702,-374.927580,-411.181642,11.400597,2.595148,1.942084,0.205000,1.000000
14,100.000000,15.389185,-374.652418,-410.912331,11.839201,2.595148,1.942084,0.199333,1.000000
15,100.000000,15.389185,-375.955161,-412.215074,11.223376,2.595148,1.942084,0.193750,1.000000
16,100.000000,15.391168,-381.718660,-417.983245,9.494037,2.595148,1.942084,0.189412,1.000000
17,100.000000,15.517158,-385.391731,-421.953172,8.286350,2.595148,1.942084,0.185000,1.000000
18,100.000000,15.517158,-383.887888,-420.449329,8.032664,2.595148,1.942084,0.182105,1.000000
19,100.000000,15.673293,-391.509098,-428.438425,5.675337,2.595148,1.942084,0.182500,1.000000
20,100.000000,14.036982,-395.548493,-428.622352,8.938113,2.595148,1.942084,0.178095,1.000000
21,100.000000,14.036982,-404.232953,-437.306813,7.220190,2.595148,1.942084,0.175455,1.000000
22,100.000000,14.739145,-391.957520,-426.685812,6.368657,2.595148,1.942084,0.174783,1.000000
23,100.000000,14.739145,-389.470515,-424.198807,7.726573,2.595148,1.942084,0.173750,1.000000
24,100.000000,13.375077,-387.717773,-419.232057,9.796885,2.595148,1.942084,0.174000,1.000000
25,100.000000,14.468376,-390.702427,-424.792734,11.128009,2.595148,1.942084,0.172308,1.000000
26,100.000000,14.631768,-403.030411,-437.505703,10.253402,2.595148,1.942084,0.170370,1.000000
