i,j,G_avg
0,0,0.254263
0,1,-0.036229
0,2,0.004314
0,3,0.075556
0,4,0.131104
0,5,0.063582
0,6,0.065947
0,7,0.070824
0,8,0.142415
0,9,0.077689
1,0,0.162262
1,1,0.017573
1,2,-0.000375
1,3,0.048466
1,4,0.079923
1,5,0.032762
1,6,0.088189
1,7,0.068328
1,8,0.074470
1,9,0.057189
2,0,0.132371
2,1,0.017984
2,2,-0.018185
2,3,0.109161
2,4,0.079485
2,5,0.061024
2,6,0.095049
2,7,0.090503
2,8,0.099758
2,9,0.083463
3,0,0.125911
3,1,0.023136
3,2,-0.011413
3,3,0.088395
3,4,0.052500
3,5,0.090229
3,6,0.072936
3,7,0.121862
3,8,0.060876
3,9,0.067489
4,0,0.117157
4,1,0.034006
4,2,0.001801
4,3,0.076709
4,4,0.043734
4,5,0.082099
4,6,0.057416
4,7,0.124912
4,8,0.078092
4,9,0.068223
5,0,0.078444
5,1,0.035843
5,2,0.046309
5,3,0.080595
5,4,0.049614
5,5,0.100445
5,6,0.064590
5,7,0.118542
5,8,0.106244
5,9,0.076733
6,0,0.088054
6,1,0.031259
6,2,0.035616
6,3,0.103608
6,4,0.040500
6,5,0.114767
6,6,0.121396
6,7,0.112654
6,8,0.088805
6,9,0.080961
7,0,0.068409
7,1,-0.014660
7,2,0.019553
7,3,0.071172
7,4,0.054904
7,5,0.086097
7,6,0.129469
7,7,0.133419
7,8,0.108534
7,9,0.065517
8,0,0.096947
8,1,-0.026535
8,2,0.005160
8,3,0.092077
8,4,0.063814
8,5,0.081112
8,6,0.078018
8,7,0.104591
8,8,0.121247
8,9,0.077204
9,0,0.134443
9,1,-0.040819
9,2,0.028543
9,3,0.112806
9,4,0.096493
9,5,0.055788
9,6,0.075415
9,7,0.082561
9,8,0.129320
9,9,0.083166
