step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,86.522440,-125.038682,-260.947813,-1.819534,5.171918,2.572534,0.490000,0.000000
1,100.000000,72.965297,-199.937523,-314.551144,-1.227920,5.171918,2.572534,0.460000,0.000000
2,100.000000,64.671765,-243.917013,-345.503184,2.399913,5.171918,2.572534,0.403333,0.000000
3,100.000000,64.588041,-257.935744,-359.390402,-0.163826,5.171918,2.572534,0.380000,0.000000
4,100.000000,63.080121,-279.614497,-378.700520,6.377947,5.171918,2.572534,0.348000,0.000000
5,100.000000,56.687301,-297.529176,-386.573381,8.360916,5.171918,2.572534,0.321667,0.000000
6,100.000000,63.837999,-284.356902,-384.633396,7.207062,5.171918,2.572534,0.295714,0.000000
7,100.000000,58.139318,-297.199945,-388.524972,8.837293,5.171918,2.572534,0.277500,0.000000
8,100.000000,58.653939,-300.902643,-393.036034,6.646323,5.171918,2.572534,0.265556,0.000000
9,100.000000,64.056383,-292.805710,-393.425241,9.109378,5.171918,2.572534,0.254000,0.000000
10,100.000000,65.289071,-304.404816,-406.960649,5.333419,5.171918,2.572534,0.250000,0.000000
11,100.000000,69.214924,-305.221004,-413.943552,9.210038,5.171918,2.572534,0.248333,0.000000
12,100.000000,61.804906,-321.181128,-418.264047,11.563433,5.171918,2.572534,0.240769,0.000000
13,100.000000,53.566951,-337.310828,-421.453599,14.188111,5.171918,2.572534,0.234286,0.000000
14,100.000000,49.024123,-348.066075,-425.072987,17.906509,5.171918,2.572534,0.227333,0.000000
15,100.000000,50.789544,-340.294670,-420.074699,17.215546,5.171918,2.572534,0.218750,0.000000
16,100.000000,51.813305,-345.379163,-426.767312,15.573036,5.171918,2.572534,0.211765,0.000000
17,100.000000,58.074521,-339.327626,-430.550870,14.649811,5.171918,2.572534,0.209444,0.000000
18,100.000000,57.233162,-351.993389,-441.895029,13.629874,5.171918,2.572534,0.206316,0.000000
19,100.000000,54.984670,-359.263975,-445.633692,15.097560,5.171918,2.572534,0.201000,0.000000
20,100.000000,53.503927,-356.602914,-440.646685,14.202727,5.171918,2.572534,0.197619,0.000000
21,100.000000,51.013195,-364.604354,-444.735692,13.341124,5.171918,2.572534,0.194091,0.000000
22,100.000000,50.269329,-371.023884,-449.986761,16.222625,5.171918,2.572534,0.190000,0.000000
23,100.000000,47.644576,-377.152592,-451.992517,14.091482,5.171918,2.572534,0.188333,0.000000
24,100.000000,51.629623,-364.515301,-445.614923,13.178588,5.171918,2.572534,0.186000,0.000000
25,100.000000,54.334635,-363.710994,-449.059639,13.895783,5.171918,2.572534,0.183077,0.000000
26,100.000000,53.389664,-357.180918,-441.045207,12.431497,5.171918,2.572534,0.180741,0.000000
27,100.000000,51.063678,-354.385392,-434.596030,9.628547,5.171918,2.572534,0.180000,0.000000
28,100.000000,48.893023,-361.407076,-438.208057,10.679221,5.171918,2.572534,0.180345,0.000000
29,100.000000,47.196838,-365.499229,-439.635849,7.394341,5.171918,2.572534,0.178333,0.000000
30,100.000000,50.184450,-357.177008,-436.006558,8.440695,5.171918,2.572534,0.177097,0.000000
31,100.000000,51.555328,-357.261553,-438.244472,8.520540,5.171918,2.572534,0.174375,0.000000
32,100.000000,58.145551,-341.144594,-432.479413,9.419807,5.171918,2.572534,0.174242,0.000000
33,100.000000,61.189068,-330.229539,-426.345102,8.907794,5.171918,2.572534,0.172941,0.000000
34,100.000000,66.400604,-311.895839,-416.197663,-3.793843,5.171918,2.572534,0.172571,0.000000
35,100.000000,65.016110,-310.126928,-412.253995,-2.951238,5.171918,2.572534,0.173333,0.000000
36,100.000000,62.208502,-320.315199,-418.032086,0.957768,5.171918,2.572534,0.172973,0.000000
37,100.000000,61.244495,-319.379863,-415.582490,16.722329,5.171918,2.572534,0.172632,0.000000
38,100.000000,61.521821,-316.199020,-412.837270,17.613718,5.171918,2.572534,0.172051,0.000000
39,100.000000,64.725580,-310.075748,-411.746451,16.705540,5.171918,2.572534,0.171250,0.000000
40,100.000000,54.442349,-328.866973,-414.384815,18.243704,5.171918,2.572534,0.171220,0.000000
41,100.000000,47.386665,-354.826311,-429.261110,23.498873,5.171918,2.572534,0.171190,0.000000
42,100.000000,47.431464,-361.324589,-435.829759,24.022292,5.171918,2.572534,0.170930,0.000000
43,100.000000,45.282936,-378.561600,-449.691870,27.679347,5.171918,2.572534,0.170227,0.000000
44,100.000000,48.188727,-379.025989,-454.720665,26.805767,5.171918,2.572534,0.168889,0.000000
45,100.000000,55.814855,-369.381010,-457.054780,28.441635,5.171918,2.572534,0.168696,0.000000
46,100.000000,48.053605,-381.912120,-457.394546,29.510241,5.171918,2.572534,0.168085,0.000000
47,100.000000,45.264627,-389.839916,-460.941426,29.811999,5.171918,2.572534,0.167708,0.000000
48,100.000000,42.170951,-390.793008,-457.034983,31.757652,5.171918,2.572534,0.168163,0.000000
49,100.000000,40.641151,-391.584679,-455.423650,32.386917,5.171918,2.572534,0.167400,0.000000
50,100.000000,48.985314,-386.744860,-463.690812,35.129044,5.171918,2.572534,0.167255,0.000000
51,100.000000,50.096154,-378.465680,-457.156535,35.013356,5.171918,2.572534,0.165769,0.000000
52,100.000000,51.643168,-377.577487,-458.698386,35.125456,5.171918,2.572534,0.165472,0.000000
53,100.000000,46.048327,-394.620053,-466.952597,38.089059,5.171918,2.572534,0.164444,0.000000
54,100.000000,42.038208,-410.530584,-476.564047,41.362659,5.171918,2.572534,0.163636,0.000000
55,100.000000,39.922956,-417.166901,-479.877734,42.069410,5.171918,2.572534,0.163036,0.000000
56,100.000000,41.322597,-411.696217,-476.605601,41.536751,5.171918,2.572534,0.162456,0.000000
57,100.000000,45.110035,-407.979133,-478.837809,42.217146,5.171918,2.572534,0.161207,0.000000
58,100.000000,44.907557,-406.746642,-477.287268,44.151446,5.171918,2.572534,0.160169,0.000000
59,100.000000,40.960114,-414.737239,-479.077235,45.565854,5.171918,2.572534,0.159333,0.000000
60,100.000000,39.888498,-422.753644,-485.410351,44.735645,5.171918,2.572534,0.158852,0.000000
61,100.000000,37.894228,-422.992312,-482.516425,47.349321,5.171918,2.572534,0.158710,0.000000
62,100.000000,37.717443,-421.059372,-480.305794,48.082746,5.171918,2.572534,0.157778,0.000000
63,100.000000,39.254309,-413.024360,-474.684885,47.348456,5.171918,2.572534,0.157031,0.000000
64,100.000000,42.374058,-408.964563,-475.525579,46.777139,5.171918,2.572534,0.156000,0.000000
65,100.000000,37.599541,-417.012195,-476.073415,46.611659,5.171918,2.572534,0.155303,0.000000
66,100.000000,37.860367,-419.622116,-479.093043,47.689720,5.171918,2.572534,0.155224,0.000000
67,100.000000,32.842024,-423.677407,-475.265537,46.362996,5.171918,2.572534,0.154706,0.000000
68,100.000000,30.339055,-426.667739,-474.324215,46.432028,5.171918,2.572534,0.154638,0.000000
69,100.000000,30.919543,-421.309356,-469.877660,27.590816,5.171918,2.572534,0.154000,0.000000
70,100.000000,27.427660,-433.203468,-476.286735,23.246919,5.171918,2.572534,0.154225,0.000000
71,100.000000,32.238520,-429.556101,-480.196249,23.909596,5.171918,2.572534,0.153750,0.000000
72,100.000000,31.747318,-434.922637,-484.791207,25.542631,5.171918,2.572534,0.153014,0.000000
73,100.000000,29.827759,-442.857471,-489.710805,27.738648,5.171918,2.572534,0.152568,0.000000
74,100.000000,28.569634,-441.269019,-486.146096,30.584623,5.171918,2.572534,0.151867,0.000000
75,100.000000,37.411572,-418.841997,-477.607957,27.610116,5.171918,2.572534,0.151974,0.000000
76,100.000000,38.667249,-415.554391,-476.292764,29.662329,5.171918,2.572534,0.151039,0.000000
77,100.000000,35.077518,-430.945474,-486.045111,29.598322,5.171918,2.572534,0.150513,0.000000
78,100.000000,31.093250,-444.166367,-493.007530,54.713037,5.171918,2.572534,0.150633,0.000000
79,100.000000,31.460696,-441.887885,-491.306230,47.116044,5.171918,2.572534,0.150000,0.000000
80,100.000000,31.207749,-440.383085,-489.404102,48.060830,5.171918,2.572534,0.149012,0.000000
81,100.000000,29.270147,-442.022786,-488.000225,46.720778,5.171918,2.572534,0.148780,0.000000
82,100.000000,28.977738,-443.478115,-488.996239,46.546227,5.171918,2.572534,0.148313,0.000000
83,100.000000,28.192681,-454.568037,-498.852997,46.177718,5.171918,2.572534,0.147857,0.000000
84,100.000000,26.829062,-453.709418,-495.852410,45.635920,5.171918,2.572534,0.147765,0.000000
85,100.000000,30.139073,-443.101864,-490.444209,45.258150,5.171918,2.572534,0.147093,0.000000
86,100.000000,30.704206,-443.189035,-491.419089,46.196278,5.171918,2.572534,0.146782,0.000000
87,100.000000,29.560407,-444.627068,-491.060446,46.491278,5.171918,2.572534,0.146477,0.000000
88,100.000000,29.207124,-446.455685,-492.334128,44.569755,5.171918,2.572534,0.145843,0.000000
89,100.000000,32.762298,-432.806324,-484.269221,46.825934,5.171918,2.572534,0.146000,0.000000
90,100.000000,32.689163,-437.434427,-488.782444,46.517442,5.171918,2.572534,0.145165,0.000000
91,100.000000,29.745116,-436.999523,-483.723042,44.976965,5.171918,2.572534,0.145217,0.000000
92,100.000000,27.316572,-445.366148,-488.274920,43.851573,5.171918,2.572534,0.144839,0.000000
93,100.000000,25.317917,-448.715255,-488.484547,43.473083,5.171918,2.572534,0.144362,0.000000
94,100.000000,26.349520,-443.575286,-484.965015,39.562354,5.171918,2.572534,0.144316,0.000000
95,100.000000,27.773216,-446.928982,-490.555047,39.604979,5.171918,2.572534,0.144271,0.000000
96,100.000000,29.227965,-438.856108,-484.767289,38.864814,5.171918,2.572534,0.144021,0.000000
97,100.000000,27.425695,-440.611170,-483.691351,37.992770,5.171918,2.572534,0.143265,0.000000
98,100.000000,29.376482,-441.007677,-487.152148,37.331724,5.171918,2.572534,0.142626,0.000000
99,100.000000,27.474056,-447.816697,-490.972842,37.625399,5.171918,2.572534,0.141800,0.000000
100,100.000000,31.159438,-441.420422,-490.365552,37.727332,5.171918,2.572534,0.141188,0.000000
101,100.000000,27.591979,-454.495276,-497.836655,38.313689,5.171918,2.572534,0.140980,0.000000
102,100.000000,29.490843,-451.727021,-498.051129,40.031164,5.171918,2.572534,0.140194,0.000000
103,100.000000,26.822460,-451.689267,-493.821888,42.476518,5.171918,2.572534,0.139904,0.000000
104,100.000000,31.008445,-448.899053,-497.607005,41.753642,5.171918,2.572534,0.139238,0.000000
105,100.000000,30.492055,-449.099060,-496.995868,42.967261,5.171918,2.572534,0.139245,0.000000
106,100.000000,28.979544,-455.219824,-500.740785,20.134157,5.171918,2.572534,0.139159,0.000000
107,100.000000,27.522618,-460.168424,-503.400851,21.604954,5.171918,2.572534,0.139074,0.000000
108,100.000000,27.817509,-461.949409,-505.645050,44.503248,5.171918,2.572534,0.138532,0.000000
109,100.000000,26.777043,-452.098020,-494.159301,37.741656,5.171918,2.572534,0.138455,0.000000
110,100.000000,26.247636,-451.165556,-492.395246,37.759220,5.171918,2.572534,0.137838,0.000000
111,100.000000,24.428755,-453.799611,-492.172210,37.441425,5.171918,2.572534,0.137589,0.000000
112,100.000000,25.984118,-453.564418,-494.380176,38.740470,5.171918,2.572534,0.137168,0.000000
113,100.000000,25.906444,-451.355456,-492.049203,39.430185,5.171918,2.572534,0.137368,0.000000
114,100.000000,25.139769,-451.856574,-491.346030,39.491617,5.171918,2.572534,0.137043,0.000000
115,100.000000,21.115094,-457.431399,-490.598911,38.076049,5.171918,2.572534,0.136897,0.000000
116,100.000000,23.857179,-447.536537,-485.011306,38.746771,5.171918,2.572534,0.136496,0.000000
117,100.000000,24.456390,-441.742648,-480.158656,41.623293,5.171918,2.572534,0.136610,0.000000
118,100.000000,23.496159,-454.258740,-491.166421,43.924127,5.171918,2.572534,0.136639,0.000000
119,100.000000,24.656334,-454.783618,-493.513697,33.171997,5.171918,2.572534,0.136667,0.000000
120,100.000000,25.401937,-448.115370,-488.016639,29.265214,5.171918,2.572534,0.136529,0.000000
