i,j,G_avg
0,0,0.367577
0,1,0.196607
0,2,0.187901
0,3,0.180509
0,4,0.138680
0,5,0.112307
0,6,0.167290
0,7,0.170607
1,0,0.307342
1,1,0.129470
1,2,0.165842
1,3,0.150936
1,4,0.142902
1,5,0.171236
1,6,0.202384
1,7,0.181962
2,0,0.224514
2,1,0.119485
2,2,0.103631
2,3,0.132533
2,4,0.157456
2,5,0.146718
2,6,0.187050
2,7,0.124542
3,0,0.177781
3,1,0.105328
3,2,0.078194
3,3,0.154437
3,4,0.139027
3,5,0.175341
3,6,0.203087
3,7,0.137298
4,0,0.160639
4,1,0.121604
4,2,0.168730
4,3,0.171323
4,4,0.136629
4,5,0.118582
4,6,0.166417
4,7,0.164566
5,0,0.176934
5,1,0.109154
5,2,0.160497
5,3,0.150293
5,4,0.117526
5,5,0.130389
5,6,0.160208
5,7,0.204184
6,0,0.209715
6,1,0.166567
6,2,0.127459
6,3,0.102821
6,4,0.134381
6,5,0.085248
6,6,0.143135
6,7,0.222754
7,0,0.284048
7,1,0.177394
7,2,0.173620
7,3,0.152579
7,4,0.083244
7,5,0.111149
7,6,0.145048
7,7,0.227680
