step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,67.983463,-156.028953,-182.725996,0.819798,6.710403,3.677012,0.490000,0.000000
1,100.000000,49.510766,-223.980011,-243.422843,-4.140831,6.710403,3.677012,0.440000,0.000000
2,100.000000,40.346081,-269.054678,-284.898547,-8.303474,6.710403,3.677012,0.393333,0.000000
3,100.000000,39.266766,-303.122461,-318.542484,-12.848688,6.710403,3.677012,0.362500,0.000000
4,100.000000,33.418952,-338.951591,-352.075182,-19.408545,6.710403,3.677012,0.326000,0.000000
5,100.000000,30.282025,-353.872687,-365.764410,-17.194868,6.710403,3.677012,0.313333,0.000000
6,100.000000,35.257331,-353.660893,-367.506415,-4.618789,6.710403,3.677012,0.292857,0.000000
7,100.000000,29.388812,-371.670721,-383.211680,-6.011310,6.710403,3.677012,0.275000,0.000000
8,100.000000,25.269997,-388.393389,-398.316894,-5.740334,6.710403,3.677012,0.256667,0.000000
9,100.000000,23.919675,-393.531730,-402.924964,-4.592873,6.710403,3.677012,0.244000,0.000000
10,100.000000,24.824328,-395.081429,-404.829920,-2.832885,6.710403,3.677012,0.235455,0.000000
11,100.000000,24.976750,-390.975410,-400.783757,-1.425867,6.710403,3.677012,0.229167,0.000000
12,100.000000,24.862236,-390.264353,-400.027730,-4.501090,6.710403,3.677012,0.221538,0.000000
13,100.000000,24.464897,-397.502193,-407.109536,-5.264515,6.710403,3.677012,0.212143,0.000000
14,100.000000,23.797814,-401.705546,-411.050926,-5.707698,6.710403,3.677012,0.204667,0.000000
15,100.000000,24.562848,-405.354449,-415.000257,-7.103319,6.710403,3.677012,0.198125,0.000000
16,100.000000,22.348103,-411.480612,-420.256692,-7.989326,6.710403,3.677012,0.191765,0.000000
17,100.000000,20.197246,-422.262494,-430.193934,-8.318046,6.710403,3.677012,0.190000,0.000000
18,100.000000,18.666202,-425.146687,-432.476888,-12.227616,6.710403,3.677012,0.185789,0.000000
19,100.000000,18.618597,-433.361869,-440.673375,-13.923300,6.710403,3.677012,0.184500,0.000000
20,100.000000,18.287396,-437.093731,-444.275174,-14.995377,6.710403,3.677012,0.179524,1.000000
21,100.000000,16.921217,-445.626803,-452.271749,-15.558403,6.710403,3.677012,0.177727,1.000000
22,100.000000,16.214405,-450.492597,-456.859979,-15.379301,6.710403,3.677012,0.173478,1.000000
23,100.000000,17.366765,-442.918940,-449.738853,-14.724760,6.710403,3.677012,0.170417,1.000000
24,100.000000,16.500999,-440.593487,-447.073414,-14.662502,6.710403,3.677012,0.170800,1.000000
25,100.000000,15.663357,-439.511265,-445.662251,-15.203262,6.710403,3.677012,0.170000,1.000000
26,100.000000,14.999649,-449.259167,-455.149515,-19.594943,6.710403,3.677012,0.170000,1.000000
27,100.000000,15.704062,-449.802339,-455.969310,-21.536238,6.710403,3.677012,0.168929,1.000000
28,100.000000,15.178850,-453.515961,-459.476681,-19.763169,6.710403,3.677012,0.166897,1.000000
29,100.000000,13.324550,-455.474695,-460.707234,-21.802736,6.710403,3.677012,0.165000,1.000000
30,100.000000,13.848768,-455.856433,-461.294832,-21.417610,6.710403,3.677012,0.165806,1.000000
31,100.000000,13.548658,-465.301601,-470.622147,-23.950007,6.710403,3.677012,0.163438,1.000000
32,100.000000,13.488349,-463.667177,-468.964039,-24.346692,6.710403,3.677012,0.159697,1.000000
33,100.000000,12.305091,-463.771358,-468.603556,-22.643803,6.710403,3.677012,0.158235,1.000000
34,100.000000,13.576460,-459.253504,-464.584967,-21.178001,6.710403,3.677012,0.157429,1.000000
35,100.000000,13.925138,-450.274582,-455.742971,-22.601108,6.710403,3.677012,0.156667,1.000000
36,100.000000,12.153574,-457.143822,-461.916519,-22.997697,6.710403,3.677012,0.155135,1.000000
37,100.000000,10.621444,-467.001144,-471.172175,-23.771094,6.710403,3.677012,0.154474,1.000000
38,100.000000,10.765534,-467.556083,-471.783699,-20.929982,6.710403,3.677012,0.152821,1.000000
39,100.000000,11.825931,-463.976258,-468.620290,-22.901323,6.710403,3.677012,0.152250,1.000000
40,100.000000,11.317992,-465.855084,-470.299649,-22.575171,6.710403,3.677012,0.151707,1.000000
41,100.000000,12.868990,-462.084372,-467.138012,-23.377474,6.710403,3.677012,0.150476,1.000000
42,100.000000,12.875160,-465.588324,-470.644388,-25.097851,6.710403,3.677012,0.148837,1.000000
43,100.000000,12.519022,-475.350664,-480.266872,-25.804848,6.710403,3.677012,0.148864,1.000000
44,100.000000,12.866492,-473.302788,-478.355447,-23.729605,6.710403,3.677012,0.147333,1.000000
45,100.000000,13.214957,-474.183137,-479.372638,-22.756514,6.710403,3.677012,0.145870,1.000000
46,100.000000,13.745254,-469.575998,-474.973746,-23.309547,6.710403,3.677012,0.145106,1.000000
47,100.000000,12.642958,-478.600149,-483.565027,-24.113707,6.710403,3.677012,0.143958,1.000000
48,100.000000,11.615590,-473.162141,-477.723573,-25.406486,6.710403,3.677012,0.143469,1.000000
49,100.000000,11.155286,-475.816353,-480.197023,-7.329130,6.710403,3.677012,0.141200,1.000000
50,100.000000,9.979192,-485.617989,-489.536809,-4.942776,6.710403,3.677012,0.140588,1.000000
51,100.000000,10.147008,-480.422758,-484.407479,-5.716067,6.710403,3.677012,0.139038,1.000000
52,100.000000,10.060866,-481.855692,-485.806585,-4.645314,6.710403,3.677012,0.137170,1.000000
53,100.000000,10.275522,-485.788912,-489.824100,-5.976641,6.710403,3.677012,0.137222,1.000000
54,100.000000,10.218884,-492.447925,-496.460872,-6.417412,6.710403,3.677012,0.135455,1.000000
55,100.000000,10.406914,-492.723217,-496.810003,-6.283064,6.710403,3.677012,0.135000,1.000000
56,100.000000,10.205476,-493.794136,-497.801817,-5.727701,6.710403,3.677012,0.134737,1.000000
57,100.000000,9.599180,-500.061204,-503.830793,-5.214121,6.710403,3.677012,0.135000,1.000000
