i,j,G_avg
0,0,0.070763
0,1,0.034216
0,2,0.033035
0,3,0.026394
0,4,0.019260
0,5,0.009563
0,6,0.014314
0,7,-0.008034
0,8,-0.021851
0,9,-0.020909
0,10,-0.000060
0,11,0.016646
0,12,-0.004648
0,13,0.006268
0,14,-0.008774
0,15,0.004706
0,16,0.035315
0,17,0.034610
0,18,0.030485
0,19,0.047487
1,0,0.047037
1,1,0.031813
1,2,0.027451
1,3,0.016199
1,4,0.002201
1,5,0.002418
1,6,0.010487
1,7,-0.000382
1,8,-0.007047
1,9,-0.011978
1,10,0.016739
1,11,0.014254
1,12,-0.007837
1,13,-0.008989
1,14,0.002238
1,15,-0.000991
1,16,0.013215
1,17,0.023938
1,18,0.028338
1,19,0.046623
2,0,0.039472
2,1,0.040832
2,2,0.033070
2,3,0.016996
2,4,0.008123
2,5,0.012133
2,6,0.005739
2,7,0.009682
2,8,0.004819
2,9,-0.009153
2,10,0.000213
2,11,-0.003501
2,12,-0.001357
2,13,-0.010726
2,14,-0.007360
2,15,-0.014449
2,16,0.009612
2,17,0.026483
2,18,0.038443
2,19,0.045597
3,0,0.023501
3,1,0.031352
3,2,0.036957
3,3,0.032258
3,4,0.023759
3,5,-0.003758
3,6,0.005342
3,7,-0.006411
3,8,-0.005748
3,9,-0.010106
3,10,-0.008789
3,11,-0.002992
3,12,0.013805
3,13,-0.001833
3,14,-0.010324
3,15,-0.012822
3,16,0.022890
3,17,0.026733
3,18,0.025489
3,19,0.033276
4,0,0.030126
4,1,0.015802
4,2,0.024955
4,3,0.025770
4,4,0.017477
4,5,-0.010171
4,6,-0.005941
4,7,-0.018109
4,8,-0.004429
4,9,0.012903
4,10,0.003315
4,11,0.004298
4,12,0.011768
4,13,0.009136
4,14,0.004506
4,15,0.013495
4,16,0.028236
4,17,0.023269
4,18,0.012073
4,19,0.024376
5,0,0.020668
5,1,0.013152
5,2,0.019789
5,3,0.009645
5,4,-0.000782
5,5,-0.013663
5,6,0.000245
5,7,-0.003001
5,8,0.009714
5,9,0.008833
5,10,0.006827
5,11,-0.012923
5,12,0.009494
5,13,0.008206
5,14,0.019111
5,15,0.007393
5,16,0.025655
5,17,0.014915
5,18,0.009768
5,19,0.015773
6,0,0.021899
6,1,0.017859
