step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,100.000000,-3.267739,-153.975403,-152.692165,0.405406,7.581287,2.844019,0.480000,0.000000
1,100.000000,0.830245,-239.505176,-239.831212,-0.967265,7.581287,2.844019,0.425000,0.000000
2,100.000000,2.783052,-283.216844,-284.309746,-3.195271,7.581287,2.844019,0.380000,0.000000
3,100.000000,1.231831,-312.962207,-313.445946,-3.946605,7.581287,2.844019,0.362500,0.000000
4,100.000000,-0.480348,-337.092306,-336.903674,-3.697835,7.581287,2.844019,0.322000,0.000000
5,100.000000,-1.647797,-351.465368,-350.818280,0.671296,7.581287,2.844019,0.315000,0.000000
6,100.000000,-1.936494,-352.027253,-351.266793,-5.892368,7.581287,2.844019,0.297143,0.000000
7,100.000000,-2.640707,-369.215834,-368.178831,8.217300,7.581287,2.844019,0.281250,0.000000
8,100.000000,-3.798505,-392.931254,-391.439585,7.365837,7.581287,2.844019,0.268889,0.000000
9,100.000000,-3.503275,-395.158594,-393.782861,7.779725,7.581287,2.844019,0.251000,1.000000
10,100.000000,-3.564818,-397.878503,-396.478602,7.626187,7.581287,2.844019,0.236364,1.000000
11,100.000000,-0.998699,-400.112963,-399.720775,4.177940,7.581287,2.844019,0.231667,1.000000
12,100.000000,2.315483,-407.012855,-407.922143,-0.406768,7.581287,2.844019,0.222308,1.000000
13,100.000000,0.761875,-411.255500,-411.554688,-1.443263,7.581287,2.844019,0.215000,1.000000
14,100.000000,2.785576,-416.878794,-417.972687,-0.604576,7.581287,2.844019,0.208000,1.000000
15,100.000000,2.785576,-424.529700,-425.623593,-1.519491,7.581287,2.844019,0.201250,1.000000
16,100.000000,3.031995,-424.327547,-425.518208,-2.628448,7.581287,2.844019,0.195294,1.000000
17,100.000000,3.272706,-427.973457,-429.258645,-1.295985,7.581287,2.844019,0.191111,1.000000
18,100.000000,3.272706,-419.808240,-421.093428,0.029602,7.581287,2.844019,0.184211,1.000000
19,100.000000,4.280060,-421.879983,-423.560758,-1.231961,7.581287,2.844019,0.181500,1.000000
20,100.000000,4.280060,-423.960837,-425.641612,-2.754055,7.581287,2.844019,0.174762,2.000000
