step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
0,400.000000,49.119752,-583.235897,-698.971587,12.407626,-4.629648,-6.806828,0.480000
1,400.000000,62.551417,-798.486961,-945.870265,16.701206,-4.629648,-6.806828,0.405000
2,400.000000,63.572400,-953.693538,-1103.482478,24.585710,-4.629648,-6.806828,0.355833
3,400.000000,63.522406,-1109.750380,-1259.421522,32.750020,-4.629648,-6.806828,0.325625
4,400.000000,64.672489,-1196.221650,-1348.602613,36.204738,-4.629648,-6.806828,0.298500
5,400.000000,66.585817,-1220.702490,-1377.591626,42.262245,-4.629648,-6.806828,0.270833
6,400.000000,59.218738,-1304.338418,-1443.869282,45.851544,-4.629648,-6.806828,0.260357
7,400.000000,64.178831,-1336.822026,-1488.039833,50.687572,-4.629648,-6.806828,0.246875
8,400.000000,60.748642,-1385.611721,-1528.747337,8.125995,-4.629648,-6.806828,0.235556
9,400.000000,61.831744,-1400.606026,-1546.293641,9.166800,-4.629648,-6.806828,0.222750
10,400.000000,60.216312,-1444.526397,-1586.407740,7.954528,-4.629648,-6.806828,0.215455
11,400.000000,60.987232,-1459.975745,-1603.673525,1.207595,-4.629648,-6.806828,0.207917
12,400.000000,55.464510,-1488.303174,-1618.988346,1.267339,-4.629648,-6.806828,0.201731
13,400.000000,54.431832,-1491.618845,-1619.870828,1.375462,-4.629648,-6.806828,0.194286
14,400.000000,54.853103,-1515.735976,-1644.980554,5.631922,-4.629648,-6.806828,0.187500
15,400.000000,58.482722,-1527.950271,-1665.746939,5.479265,-4.629648,-6.806828,0.183906
16,400.000000,56.059505,-1551.280058,-1683.367155,1.390127,-4.629648,-6.806828,0.178824
17,400.000000,58.641627,-1565.626982,-1703.798060,-0.261013,-4.629648,-6.806828,0.176389
18,400.000000,57.994748,-1576.462069,-1713.108974,5.269316,-4.629648,-6.806828,0.172895
19,400.000000,56.511285,-1593.400086,-1726.551664,6.461778,-4.629648,-6.806828,0.170625
20,400.000000,53.976034,-1615.081653,-1742.259686,3.339462,-4.629648,-6.806828,0.167738
21,400.000000,54.609506,-1637.518466,-1766.189084,0.282507,-4.629648,-6.806828,0.165341
22,400.000000,52.413595,-1637.859649,-1761.356272,-1.389485,-4.629648,-6.806828,0.163152
23,400.000000,50.809555,-1638.041654,-1757.758848,22.564868,-4.629648,-6.806828,0.160729
24,400.000000,50.032972,-1644.743610,-1762.631023,23.896918,-4.629648,-6.806828,0.158800
25,400.000000,46.650716,-1662.958502,-1772.876662,25.388089,-4.629648,-6.806828,0.156250
26,400.000000,46.749546,-1671.758879,-1781.909901,26.608244,-4.629648,-6.806828,0.154907
27,400.000000,46.535746,-1686.766612,-1796.413879,-10.369736,-4.629648,-6.806828,0.153304
