step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe,F_LIm,acc,dt
0,32400.000000,60.000000,-172472.564355,-172543.250189,1055.415934,1234.963619,372.581207,0.083210,84.000000
100,32400.000000,60.000000,-172795.649832,-172866.335667,1317.167023,1234.963619,372.581207,0.085769,7573.000000
200,32400.000000,59.940054,-172791.357695,-172861.972908,1153.302950,1234.963619,372.581207,0.085974,14940.000000
300,32400.000000,59.540919,-172425.136477,-172495.281469,1076.103117,1234.963619,372.581207,0.086146,22326.000000
400,32400.000000,59.604393,-172612.209296,-172682.429067,849.280939,1234.963619,372.581207,0.086281,29862.000000
500,32400.000000,58.143883,-172466.151152,-172534.650300,726.266603,1234.963619,372.581207,0.086283,37408.000000
600,32400.000000,56.000000,-172736.968452,-172802.941898,336.837172,1234.963619,372.581207,0.086200,44768.000000
700,32400.000000,52.000000,-172708.557924,-172769.818981,1278.104601,1234.963619,372.581207,0.086201,52153.000000
800,32400.000000,52.000000,-172400.468899,-172461.729955,426.924096,1234.963619,372.581207,0.086183,59625.000000
900,32400.000000,52.000000,-172712.370222,-172773.631279,860.353961,1234.963619,372.581207,0.086181,67042.000000
1000,32400.000000,54.635962,-172794.201451,-172858.567928,1383.685194,1234.963619,372.581207,0.086172,74432.000000
1100,32400.000000,49.419268,-172492.029043,-172550.249746,-395.137767,1234.963619,372.581207,0.086155,81828.000000
1200,32400.000000,48.000000,-173153.831128,-173210.379796,1029.459051,1234.963619,372.581207,0.086158,89239.000000
1300,32400.000000,48.000000,-172812.402637,-172868.951305,2227.635274,1234.963619,372.581207,0.086128,96622.000000
1400,32400.000000,47.008882,-173251.083534,-173306.464568,429.202547,1234.963619,372.581207,0.086130,104078.000000
1500,32400.000000,46.956963,-172861.020502,-172916.340370,356.690122,1234.963619,372.581207,0.086121,111470.000000
1600,32400.000000,44.077517,-172990.491909,-173042.419510,-155.689790,1234.963619,372.581207,0.086112,119027.000000
1700,32400.000000,44.000000,-173044.970850,-173096.807128,-692.276034,1234.963619,372.581207,0.086116,126455.000000
1800,32400.000000,44.000000,-172692.958252,-172744.794531,-911.946009,1234.963619,372.581207,0.086131,134004.000000
1900,32400.000000,43.907372,-173125.440460,-173177.167614,-686.374686,1234.963619,372.581207,0.086141,141414.000000
2000,32400.000000,44.000000,-172874.115330,-172925.951609,-329.125211,1234.963619,372.581207,0.086141,148788.000000
2100,32400.000000,44.000000,-172774.446538,-172826.282817,-476.320249,1234.963619,372.581207,0.086144,156279.000000
2200,32400.000000,44.000000,-173030.430720,-173082.266999,1300.592610,1234.963619,372.581207,0.086141,163794.000000
2300,32400.000000,44.000000,-173021.610679,-173073.446958,978.928780,1234.963619,372.581207,0.086130,171328.000000
2400,32400.000000,44.000000,-172902.906587,-172954.742866,1061.346286,1234.963619,372.581207,0.086121,178886.000000
2500,32400.000000,40.000000,-172880.603372,-172927.727261,1063.707380,1234.963619,372.581207,0.086120,186286.000000
2600,32400.000000,40.000000,-173018.064577,-173065.188467,2.145142,1234.963619,372.581207,0.086112,193677.000000
2700,32400.000000,39.562677,-172668.707860,-172715.316541,123.095948,1234.963619,372.581207,0.086109,201213.000000
2800,32400.000000,40.000000,-173196.195227,-173243.319117,-289.052547,1234.963619,372.581207,0.086114,208574.000000
2900,32400.000000,36.000000,-172464.379018,-172506.790519,292.084391,1234.963619,372.581207,0.086101,215953.000000
3000,32400.000000,36.261774,-173161.588040,-173204.307936,490.144725,1234.963619,372.581207,0.086100,223454.000000
3100,32400.000000,36.000000,-172761.711503,-172804.123004,-712.062451,1234.963619,372.581207,0.086096,230870.000000
3200,32400.000000,36.000000,-172708.797293,-172751.208794,1046.516912,1234.963619,372.581207,0.086090,238231.000000
3300,32400.000000,36.000000,-172966.506876,-173008.918377,156.515318,1234.963619,372.581207,0.086083,245696.000000
